letter,count,days used,percentage of total letters used to date,percentage of total letters used for all possible answers,difference in letters used,percentage of total days used to date,percentage of days used in all possible days,difference in words used,longest streak,current streak,most in one word,days since last appearance,times as first letter,times as second letter,times as third letter,times as fourth letter,times as last letter
e,352,314,10.46,10.65,-0.19,46.66,45.60,1.06,6,0,2,1,19,60,53,82,138
a,303,278,9.00,8.45,0.55,41.31,39.24,2.07,9,1,2,0,52,86,91,55,19
r,266,252,7.90,7.77,0.13,37.44,36.16,1.28,7,0,3,4,28,81,45,54,58
o,234,209,6.95,6.52,0.43,31.05,29.10,1.95,9,0,2,2,9,96,86,28,15
t,229,216,6.81,6.31,0.50,32.10,28.89,3.21,5,3,2,0,46,24,29,44,86
l,204,184,6.06,6.20,-0.14,27.34,27.93,-0.59,6,0,2,3,23,66,29,41,45
i,197,190,5.85,5.80,0.05,28.23,27.98,0.25,4,1,2,0,13,53,81,47,3
s,176,162,5.23,5.79,-0.56,24.07,26.72,-2.65,5,1,3,0,94,10,16,46,10
n,144,139,4.28,4.96,-0.68,20.65,23.73,-3.08,4,0,2,17,8,25,34,49,28
c,137,127,4.07,4.11,-0.04,18.87,19.32,-0.45,3,0,2,4,61,7,15,41,13
u,129,126,3.83,4.04,-0.21,18.72,19.75,-1.03,4,0,2,1,15,37,53,23,1
h,121,117,3.60,3.35,0.25,17.38,16.33,1.05,4,0,2,2,21,47,3,10,40
p,114,108,3.39,3.16,0.23,16.05,14.94,1.11,4,0,2,8,42,21,22,15,14
y,114,113,3.39,3.67,-0.28,16.79,18.02,-1.23,4,0,2,5,4,5,10,0,95
d,111,106,3.30,3.40,-0.10,15.75,16.02,-0.27,3,2,3,0,25,4,22,22,38
g,98,92,2.91,2.69,0.22,13.67,12.95,0.72,3,0,2,2,37,6,18,24,13
m,95,88,2.82,2.74,0.08,13.08,12.91,0.17,2,0,3,6,35,8,14,26,12
b,75,70,2.23,2.43,-0.20,10.40,11.52,-1.12,2,0,2,10,46,6,14,5,4
f,66,60,1.96,1.98,-0.02,8.92,8.92,0.00,3,0,3,26,46,1,7,7,5
k,63,60,1.87,1.82,0.05,8.92,8.75,0.17,3,0,2,17,7,3,4,19,30
w,50,50,1.49,1.68,-0.19,7.43,8.36,-0.93,2,0,1,8,20,12,7,7,4
v,48,46,1.43,1.32,0.11,6.84,6.41,0.43,3,0,2,1,13,4,12,19,0
x,13,13,0.39,0.32,0.07,1.93,1.60,0.33,1,0,1,18,0,6,4,2,1
z,10,10,0.30,0.35,-0.05,1.49,1.52,-0.03,2,0,1,57,1,0,1,7,1
q,9,9,0.27,0.25,0.02,1.34,1.26,0.08,1,0,1,20,5,3,1,0,0
j,7,7,0.21,0.23,-0.02,1.04,1.17,-0.13,1,0,1,87,3,2,2,0,0
